Disease,Medication
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']"
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']"
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']"
Drug Reaction,"['Antihistamines', 'Corticosteroids', 'Epinephrine']"
Peptic ulcer disease,"['Proton Pump Inhibitors', 'H2 Blockers', 'Antacids']"
AIDS,"['Antiretroviral Therapy', 'Protease Inhibitors', 'Entry Inhibitors']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 Inhibitors']"
Gastroenteritis,"['Oral Rehydration', 'Antibiotics', 'Probiotics']"
Bronchial Asthma,"['Bronchodilators', 'Inhaled Corticosteroids', 'Leukotriene Modifiers']"
Hypertension,"['ACE Inhibitors', 'Beta Blockers', 'Calcium Channel Blockers', 'Diuretics']"
Migraine,"['Triptans', 'NSAIDs', 'Anti-nausea medications', 'Beta Blockers']"
Cervical spondylosis,"['NSAIDs', 'Muscle Relaxants', 'Physical Therapy', 'Corticosteroid Injections']"
Paralysis (brain hemorrhage),"['Blood Pressure Control', 'Anticoagulants', 'Surgery', 'Rehabilitation']"
Jaundice,"['Supportive Care', 'Phototherapy', 'Immunoglobulin', 'Liver Treatment']"
Malaria,"['Chloroquine', 'Artemisinin', 'Atovaquone-proguanil', 'Primaquine']"
Chicken pox,"['Antiviral Medications', 'Calamine Lotion', 'Antihistamines', 'Pain Relievers']"
Dengue,"['Pain Relievers', 'Fluid Replacement', 'Rest', 'Monitoring']"
Typhoid,"['Antibiotics', 'Fluid Replacement', 'Rest', 'Dietary Changes']"
hepatitis A,"['Supportive Care', 'Rest', 'Fluids', 'Proper Nutrition']"
Hepatitis B,"['Antiviral Medications', 'Immune System Modulators', 'Liver Monitoring']"
Hepatitis C,"['Direct-acting Antivirals', 'Interferon', 'Ribavirin']"
Hepatitis D,"['Interferon Alpha', 'Supportive Care', 'Liver Monitoring']"
Hepatitis E,"['Supportive Care', 'Rest', 'Adequate Hydration']"
Alcoholic hepatitis,"['Corticosteroids', 'Nutritional Support', 'Alcohol Cessation']"
Tuberculosis,"['Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']"
Common Cold,"['Decongestants', 'Pain Relievers', 'Cough Suppressants', 'Rest']"
Pneumonia,"['Antibiotics', 'Rest', 'Fluids', 'Pain Relievers']"
Dimorphic hemorrhoids(piles),"['Fiber Supplements', 'Pain Relievers', 'Sitz Baths', 'Surgery']"
Heart attack,"['Aspirin', 'Thrombolytics', 'Beta Blockers', 'ACE Inhibitors']"
Varicose veins,"['Compression Stockings', 'Exercise', 'Surgery', 'Sclerotherapy']"
Hypothyroidism,"['Levothyroxine', 'Thyroid Hormone Replacement']"
Hyperthyroidism,"['Antithyroid Medications', 'Beta Blockers', 'Radioactive Iodine']"
Hypoglycemia,"['Glucose Tablets', 'Glucagon', 'Dietary Changes']"
Osteoarthristis,"['Pain Relievers', 'Physical Therapy', 'Corticosteroid Injections']"
Arthritis,"['NSAIDs', 'DMARDs', 'Corticosteroids', 'Physical Therapy']"
(vertigo) Paroymsal Positional Vertigo,"['Vestibular Rehabilitation', 'Anti-vertigo Medications', 'Canalith Repositioning']"
Acne,"['Benzoyl Peroxide', 'Retinoids', 'Antibiotics', 'Isotretinoin']"
Urinary tract infection,"['Antibiotics', 'Pain Relievers', 'Increased Fluid Intake']"
Psoriasis,"['Topical Treatments', 'Phototherapy', 'Systemic Medications', 'Biologics']"
Impetigo,"['Topical Antibiotics', 'Oral Antibiotics', 'Wound Care']"
